Location,White,Black,Hispanic,Asian/Native Hawaiian and Pacific Islander,American Indian/Alaska Native,Multiple Races,Total,Year
Georgia,0.107,0.223,0.24,0.12300000000000001,0.262,0.192,0.158,2016
Hawaii,0.08199999999999999,0.2580227272727273,0.109,0.1,0.26397499999999996,0.064,0.09,2016
Idaho,0.127,0.2580227272727273,0.243,0.1293658536585366,0.243,0.196,0.14400000000000002,2016
Illinois,0.08900000000000001,0.268,0.16699999999999998,0.111,0.132,0.185,0.13,2016
Indiana,0.111,0.27899999999999997,0.242,0.226,0.203,0.226,0.14,2016
Iowa,0.096,0.29100000000000004,0.243,0.14300000000000002,0.32899999999999996,0.198,0.114,2016
Kansas,0.1,0.275,0.182,0.11800000000000001,0.15,0.14300000000000002,0.121,2016
Kentucky,0.168,0.313,0.327,0.156,0.26397499999999996,0.255,0.18600000000000003,2016
Louisiana,0.126,0.34,0.242,0.16899999999999998,0.302,0.24100000000000002,0.203,2016
Maine,0.12,0.49,0.134,0.1293658536585366,0.303,0.27,0.13,2016
Maryland,0.069,0.128,0.127,0.077,0.26397499999999996,0.12,0.094,2016
Massachusetts,0.067,0.18899999999999997,0.264,0.142,0.213,0.151,0.105,2016
Michigan,0.114,0.29100000000000004,0.226,0.201,0.193,0.222,0.149,2016
Minnesota,0.071,0.28600000000000003,0.192,0.141,0.284,0.187,0.098,2016
Mississippi,0.129,0.319,0.263,0.10300000000000001,0.44799999999999995,0.33899999999999997,0.20800000000000002,2016
Missouri,0.11800000000000001,0.23,0.237,0.153,0.212,0.24100000000000002,0.139,2016
Montana,0.11900000000000001,0.2580227272727273,0.14300000000000002,0.1293658536585366,0.24100000000000002,0.209,0.131,2016
Nebraska,0.087,0.281,0.24600000000000002,0.19699999999999998,0.32,0.2008333333333334,0.11699999999999999,2016
Nevada,0.095,0.214,0.18899999999999997,0.107,0.31,0.129,0.136,2016
New Hampshire,0.063,0.2580227272727273,0.15,0.1293658536585366,0.26397499999999996,0.203,0.069,2016
New Jersey,0.064,0.171,0.183,0.064,0.273,0.12,0.10300000000000001,2016
New Mexico,0.124,0.213,0.24100000000000002,0.1293658536585366,0.325,0.21100000000000002,0.201,2016
New York,0.096,0.205,0.243,0.168,0.23399999999999999,0.184,0.14800000000000002,2016
North Carolina,0.11,0.244,0.278,0.113,0.23600000000000002,0.21,0.157,2016
North Dakota,0.085,0.2580227272727273,0.272,0.1293658536585366,0.38299999999999995,0.2008333333333334,0.11599999999999999,2016
Ohio,0.11,0.306,0.259,0.154,0.303,0.261,0.14400000000000002,2016
Oklahoma,0.122,0.28800000000000003,0.259,0.157,0.228,0.198,0.161,2016
Oregon,0.111,0.257,0.231,0.149,0.242,0.177,0.134,2016
